Company name,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Accredited sponsor,Hires international students
1000 Mile Travel Group,scaleup,commission;marketplace & ecommerce,https://1000miletravel.com.au,early stage,51-200,travel,Melbourne,"130, Hoddle Street, Abbotsford, Melbourne, City of Yarra, Victoria, 3067, Australia",Leading travel host agency comprising a global community of best-in-class travel experts,https://www.linkedin.com/company/1000-mile-travel-group/,https://ecosystem.innovationvictoria.com/companies/1000_mile_travel,0,,
10collective,scaleup,saas,https://rxpservices.com,breakout stage,51-200,enterprise software,Melbourne,"31, Queen Street, Melbourne, City of Melbourne, Victoria, 3000, Australia",Branding and digital marketing solutions enhancing visibility and growth across diverse industries,https://www.linkedin.com/company/rxpgroup/,https://ecosystem.innovationvictoria.com/companies/10collective,0,,
10PM Club,startup,advertising,https://10pmclub.framer.wiki/,early stage,2-10,gaming,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Narrative games exploring themes of letting go.,https://www.linkedin.com/company/10pm-club/,https://ecosystem.innovationvictoria.com/companies/10pm_club,0,,
121SEED,startup,selling own inventory;manufacturing,https://121seed.com/,early stage,2-10,food,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Biofortified wheat and crops using genetic technologies,,https://ecosystem.innovationvictoria.com/companies/121seed,0,,
1Breadcrumb,startup,mobile app;subscription;saas,http://1breadcrumb.com,breakout stage,51-200,real estate;enterprise software,Melbourne,"Gwynne Street, Cremorne, Melbourne, City of Yarra, Victoria, 3121, Australia","Digital tools to simplify and automate construction site safety, compliance, and documentation workflows",https://www.linkedin.com/company/1breadcrumb/,https://ecosystem.innovationvictoria.com/companies/1breadcrumb,0,,
1circle,scaleup,commission,http://1circle.com.au,early stage,2-10,energy,Melbourne,"3205 Melbourne, Australia","Provides expert energy management service for developers, owners and managers of properties",https://www.linkedin.com/company/1circle/,https://ecosystem.innovationvictoria.com/companies/1circle,0,,
1millikelvin,startup,subscription;manufacturing,http://1millikelvin.com,early stage,2-10,semiconductors,Melbourne,"Trade Park Drive, International Trade Park, Tullamarine, Melbourne, City of Hume, Victoria, 3045, Australia","Advanced stress sensing with next-gen Smart Camera for superior structural imaging, affordability, and versatility",https://www.linkedin.com/company/1millikelvin/,https://ecosystem.innovationvictoria.com/companies/1millikelvin,0,,
1PD,startup,artificial intelligence;saas,http://1pd.io,early stage,2-10,marketing,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Customer journey analytics platform for optimizing marketing channel mix, reducing wasted ad spend, and improving conversion rates",https://www.linkedin.com/company/1pd/,https://ecosystem.innovationvictoria.com/companies/1pd,0,,
1receipt,startup,big data;mobile app;machine learning;artificial intelligence;subscription;saas,https://www.1receipt.io,early stage,2-10,fintech;marketing,Melbourne,"Victoria Street, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia","The first true contactless platform for issuing, collecting and managing shopping receipts",https://www.linkedin.com/company/1receipt/,https://ecosystem.innovationvictoria.com/companies/1receipt,1,,
1st World Holograms,startup,subscription,http://1stworldholograms.com.au,early stage,2-10,media,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Holographic display rentals and content for marketing.,https://www.linkedin.com/company/1stworldholograms,https://ecosystem.innovationvictoria.com/companies/1st_world_holograms,0,,
2 Steps,startup,subscription;saas,https://www.2steps.io,early stage,11-50,hosting;enterprise software,Melbourne,"3000 Melbourne, Australia",Delivers synthetic monitoring capabilities within the platform,https://www.linkedin.com/company/2-steps/,https://ecosystem.innovationvictoria.com/companies/2_steps,0,,
2cloudnine,scaleup,big data;mobile app;subscription;saas,http://2cloudnine.com,breakout stage,51-200,health;enterprise software,Melbourne,"40, Albert Road, 3205 Melbourne, Australia",Payroll and Billing applications built on Salesforce for Staffing and Healthcare Sectors,https://www.linkedin.com/company/2cloudnine/,https://ecosystem.innovationvictoria.com/companies/2cloudnine,3,,
3 Sprockets,scaleup,advertising,https://3sprockets.com/,early stage,1,gaming,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Cross-platform multiplayer games for mobile and desktop,https://www.linkedin.com/company/3-sprockets-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/3_sprockets,0,,
333D,scaleup,blockchain;manufacturing,https://333d.co/,early stage,2-10,fintech;media,Melbourne,"3016 Melbourne, Australia",Create and help NFT creators turn their NFTs into real life with 3D printing,https://www.linkedin.com/company/333d-limited/,https://ecosystem.innovationvictoria.com/companies/333d,0,,
360BioLabs,scaleup,,https://www.360biolabs.com/,breakout stage,51-200,health,Melbourne,"85, Commercial Road, 3004 Melbourne, Australia",360biolabs · Quality-assured virology and immunology services,https://www.linkedin.com/company/360biolabs/,https://ecosystem.innovationvictoria.com/companies/360biolabs,13,,
36T,scaleup,manufacturing,http://36t.com.au,early stage,2-10,sports,Torquay,"Torquay VIC 3228, Australia",Carbon fibre technology company,,https://ecosystem.innovationvictoria.com/companies/36t,0,,
3clickscloud,,big data;augmented reality;saas;manufacturing,http://3clickscloud.com,early stage,11-50,fashion,Melbourne,"Brentford Sq, 3131 Melbourne, Australia",Online Production Management Solution,https://www.linkedin.com/company/3-clicks-cloud-plm/,https://ecosystem.innovationvictoria.com/companies/3clickscloud,0,,
3D Medical,,computer vision;deep tech;3d technology;commission,http://3dmedical.com.au,early stage,2-10,health,Melbourne,"3207 Melbourne, Australia",Providing personalized health revolution with transformational technologies and solutions that deliver a new level of medical certainty,https://www.linkedin.com/company/3d-medical-asx-3dm-/,https://ecosystem.innovationvictoria.com/companies/3d_medical,0,,
3deep,,,http://3deep.com,early stage,11-50,media,Melbourne,"91, Moreland Street, 3011 Melbourne, Australia",,https://www.linkedin.com/company/3deep,https://ecosystem.innovationvictoria.com/companies/3deep,0,,
3DM Surface Finishing,startup,selling own inventory;manufacturing,https://3dmsurfacefinishing.com/,early stage,2-10,health;engineering and manufacturing equipment,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","We have done what the industry thought was impossible - made metal surface finishing fast, affordable and repeatable",https://www.linkedin.com/company/3dm-surface-finishing/,https://ecosystem.innovationvictoria.com/companies/3dm_surface_finishing,0,,
3DMEDiTech,startup,hardware;deep tech;manufacturing,http://www.3dmeditech.com,early stage,2-10,health,Melbourne,"40 Cook St, Port Melbourne, Victoria 3207, AU",Makes customised prints of patients body parts,https://www.linkedin.com/company/3dmeditechaustralia/,https://ecosystem.innovationvictoria.com/companies/3dmeditech,0,,
3rdmill,,subscription;saas,https://3rdmill.tech,early stage,11-50,hosting,Melbourne,"Epping, Cooper Street, Epping, Melbourne, Victoria, 3075, Australia",Technology services and Development,https://www.linkedin.com/company/3rdmill,https://ecosystem.innovationvictoria.com/companies/3rdmill,0,,
3RT,scaleup,deep tech;subscription;manufacturing,http://3rt.com.au,early stage,11-50,robotics;engineering and manufacturing equipment,Heatherton,"Corporate Drive, Heatherton, Melbourne, City of Kingston, Victoria, 3202, Australia","Through science and engineering, we have pioneered the process of turning wood waste into a beautiful, safe, durable and sustainable product",https://www.linkedin.com/company/3rt-technologies/,https://ecosystem.innovationvictoria.com/companies/3rt,0,,
4D Medical,scaleup,computer vision;deep tech;artificial intelligence;subscription;commission,https://4dmedical.com/,breakout stage,51-200,health,Melbourne,"3000 Melbourne, Australia","Improving global health by providing unique and non-invasive imaging technologies that enable unprecedented insight into pulmonary functioning, critical in the analysis and management of respiratory diseases",https://www.linkedin.com/company/4dmedical/,https://ecosystem.innovationvictoria.com/companies/4dmedical1,0,,
4EVERLAND,startup,subscription;saas,http://4everland.org,early stage,2-10,hosting,Melbourne,"Victoria Street, 3121 Melbourne, Australia",V1 Quark:The Paas of Web 3.0,https://www.linkedin.com/company/4everlandorg/,https://ecosystem.innovationvictoria.com/companies/4everland,0,,
4Zero,startup,,https://www.4zerotechnologies.com/,early stage,2-10,food,Melbourne,"132, Cremorne Street, Cremorne, Melbourne, City of Yarra, Victoria, 3121, Australia","Backed by extensive industry knowledge and experience, 4Zero's solutions meet the unique needs of our customers by integrating all available operational data to ensure it’s visible, understandable and actionable - for unrivalled operational intelligence",https://www.linkedin.com/company/4zero-technologies/,https://ecosystem.innovationvictoria.com/companies/4zerotech,0,,
6clicks,startup,mobile app;artificial intelligence;subscription;saas,https://www.6clicks.com/,breakout stage,51-200,legal,Melbourne,"575, Little Bourke Street, 3000 Melbourne, Australia","Complete Risk and Compliance Operating System, including award-winning mobile app and world-first AI engine",https://www.linkedin.com/company/6clicks,https://ecosystem.innovationvictoria.com/companies/6clicks,0,,
6thsenserisk,startup,saas,http://6thsenserisk.com,early stage,2-10,security,Melbourne,"St Kilda Road, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia",Brings together disorganised data to get prioritised and contextualised risk intelligence & insights,https://www.linkedin.com/company/6thsense-risk/,https://ecosystem.innovationvictoria.com/companies/6thsenserisk,0,,
