Company name,State,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Accredited sponsor,Hires international students,Job title,Job type,ANZSCO occupation,ANZSCO 2022,ANZSCO 2013,ANZSCO unit group,ANZSCO unit group title,OSCA occupation,OSCA code,Job city,Job country,Date posted,Job URL,Job ID
5B,New South Wales,scaleup,commission;manufacturing,https://5b.co/,breakout stage,201-500,energy,Sydney,"Bowden Street, Macdonaldtown, Alexandria, Sydney, Council of the City of Sydney, New South Wales, 2015, Australia","Clean technology innovation powerhouse that accelerates access to low-cost, safely deployed, gigawatt-scale solar energy",https://www.linkedin.com/company/5baus/,https://nsw.dealroom.co/companies/5b,2,,,Electrical Project Engineer,Project Management,,,,,,,,Sydney,Australia,2026-01-22,https://www.linkedin.com/jobs/view/4364397867/,77030731
5B,New South Wales,scaleup,commission;manufacturing,https://5b.co/,breakout stage,201-500,energy,Sydney,"Bowden Street, Macdonaldtown, Alexandria, Sydney, Council of the City of Sydney, New South Wales, 2015, Australia","Clean technology innovation powerhouse that accelerates access to low-cost, safely deployed, gigawatt-scale solar energy",https://www.linkedin.com/company/5baus/,https://nsw.dealroom.co/companies/5b,2,,,Procurement Specialist,Logistics,,,,,,,,Sydney,Australia,2026-07-18,https://www.linkedin.com/jobs/view/4441978284/,86366213
8common,New South Wales,scaleup,subscription;saas,http://www.8common.com/,early stage,11-50,fintech;enterprise software,Sydney,"213, Miller Street, Victoria Cross, North Sydney, Sydney, North Sydney Council, New South Wales, 2060, Australia","Software solutions help customers get organised, boost productivity, and deliver results",https://www.linkedin.com/company/8common/,https://nsw.dealroom.co/companies/8common,1,,,"Junior Technical Support Engineer (Sydney, Canberra, Melbourne and other Australian locations considered)",Other,ICT Support Engineer,,263212,2632,ICT Support and Test Engineers,ICT Support Engineer,272232,Canberra,Australia,2026-07-16,https://www.linkedin.com/jobs/view/4439968710/,86239676
8seats,New South Wales,startup,subscription;saas,http://8seats.com,early stage,11-50,enterprise software,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia",Dynamic messaging platform enhancing team communication with 256-bit encryption and reduced channel complexity,https://www.linkedin.com/company/8seats/,https://nsw.dealroom.co/companies/8seats,1,,,Senior Software Engineer,Backend development,Software Engineer,261313,261313,2613,Software and Applications Programmers,Software Engineer,273333,Sydney,Australia,2026-07-22,https://www.8seats.com/careers,86547998
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,https://nsw.dealroom.co/companies/advancell_isotopes,9,,,Director of Radiochemical Separations,Other,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/4afdeb65-a3ae-43da-94e7-44b29d252db4,86716035
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,https://nsw.dealroom.co/companies/advancell_isotopes,9,,,Director of Supply Chain and Logistics,Logistics,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/bd03f1ca-949c-4afe-bd92-ab35970f8e7c,86716048
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,https://nsw.dealroom.co/companies/advancell_isotopes,9,,,Head of Facilities,Other,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/83d1237e-c65b-43c7-92ad-1e4fb6ee2219,86716069
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,https://nsw.dealroom.co/companies/advancell_isotopes,9,,,Logistics Coordinator,Logistics,,,,,,Logistics Officer,571131,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/52ca635b-c71a-49a8-a7a8-68a28df97d0a,86716050
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,https://nsw.dealroom.co/companies/advancell_isotopes,9,,,Preclinical Science Research Assistant,Data Science & Engineering,,,,,,,,Brisbane,Australia,2026-05-27,https://www.linkedin.com/jobs/view/4417842829/,83789504
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,https://nsw.dealroom.co/companies/advancell_isotopes,9,,,Radiochemical Processing Technician – Radioisotope Purification,Other,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/d492ff65-3853-4218-97de-506015d203ae,86716061
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,https://nsw.dealroom.co/companies/advancell_isotopes,9,,,Senior Translational Scientist,Other,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/89054cf6-4892-4667-a222-d8dfe6719c1a,86716045
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,https://nsw.dealroom.co/companies/advancell_isotopes,9,,,Site Head,Other,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/c1ad925e-7a8b-4daf-94ce-209d55bcd4a9,86716038
Agriwebb,New South Wales,scaleup,mobile app;subscription;saas,http://agriwebb.com,breakout stage,51-200,food,Sydney,"85-93, Commonwealth Street, Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia",Livestock Business Management that moves the industry forward,https://www.linkedin.com/company/agriwebb/,https://nsw.dealroom.co/companies/agriwebb,3,,,Customer Success Manager,CSM & Support,Customer Service Manager,,149212,1492,Call or Contact Centre and Customer Service Managers,Customer Service Manager,172132,Sydney,Australia,2026-08-16,https://www.linkedin.com/jobs/view/4452334420/,87820027
Agriwebb,New South Wales,scaleup,mobile app;subscription;saas,http://agriwebb.com,breakout stage,51-200,food,Sydney,"85-93, Commonwealth Street, Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia",Livestock Business Management that moves the industry forward,https://www.linkedin.com/company/agriwebb/,https://nsw.dealroom.co/companies/agriwebb,3,,,Customer Support Coordinator,CSM & Support,,,,,,Call or Contact Centre Operator,551131,Surry Hills,Australia,2026-08-13,https://www.linkedin.com/jobs/view/4452335309/,87665839
Agriwebb,New South Wales,scaleup,mobile app;subscription;saas,http://agriwebb.com,breakout stage,51-200,food,Sydney,"85-93, Commonwealth Street, Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia",Livestock Business Management that moves the industry forward,https://www.linkedin.com/company/agriwebb/,https://nsw.dealroom.co/companies/agriwebb,3,,,Customer Support Coordinator,CSM & Support,,,,,,Call or Contact Centre Operator,551131,Sydney,Australia,2026-05-29,https://www.linkedin.com/jobs/view/4418869005/,83887855
Airtasker,New South Wales,scaleup,commission;marketplace & ecommerce,http://airtasker.com,breakout stage,201-500,real estate;jobs recruitment,Sydney,"Sydney, New South Wales, Australia",An online and mobile marketplace that connects people and businesses with local community members,https://www.linkedin.com/company/airtasker/,https://nsw.dealroom.co/companies/airtasker,6,True,True,Content Creator & Video Producer,Marketing & Communication,Content Creator (Marketing);Video Producer,225114;212318,212318,2123;2251,"Film, Television, Radio and Stage Directors;Advertising and Marketing Professionals",Content Creator (Marketing);Content Creator (Social Media),221531;231133,Sydney,Australia,2026-08-03,https://jobs.ashbyhq.com/airtasker/f75659a9-1d81-4061-9b67-dacec8b8b47d,87198756
Airtasker,New South Wales,scaleup,commission;marketplace & ecommerce,http://airtasker.com,breakout stage,201-500,real estate;jobs recruitment,Sydney,"Sydney, New South Wales, Australia",An online and mobile marketplace that connects people and businesses with local community members,https://www.linkedin.com/company/airtasker/,https://nsw.dealroom.co/companies/airtasker,6,True,True,Product Designer (Mid-Level),Design,Industrial Designer,,232312,2323,"Fashion, Industrial and Jewellery Designers",Industrial Designer,242232,Sydney,Australia,2026-06-08,https://jobs.ashbyhq.com/airtasker/efb9ac3f-656a-485b-8939-676b59cc170a,84300256
Airtasker,New South Wales,scaleup,commission;marketplace & ecommerce,http://airtasker.com,breakout stage,201-500,real estate;jobs recruitment,Sydney,"Sydney, New South Wales, Australia",An online and mobile marketplace that connects people and businesses with local community members,https://www.linkedin.com/company/airtasker/,https://nsw.dealroom.co/companies/airtasker,6,True,True,Product Marketing Specialist,Marketing & Communication,Marketing Specialist,225113,225113,2251,Advertising and Marketing Professionals,Marketing Specialist,221534,Sydney,Australia,2026-08-17,https://jobs.ashbyhq.com/airtasker/9f5fca2e-47f5-462c-8080-939c263bb821,87868060
Airtasker,New South Wales,scaleup,commission;marketplace & ecommerce,http://airtasker.com,breakout stage,201-500,real estate;jobs recruitment,Sydney,"Sydney, New South Wales, Australia",An online and mobile marketplace that connects people and businesses with local community members,https://www.linkedin.com/company/airtasker/,https://nsw.dealroom.co/companies/airtasker,6,True,True,Senior Mobile Engineer (12 month contract),Android Development,Software Engineer,261313,261313,2613,Software and Applications Programmers,Software Engineer,273333,Sydney,Australia,2026-08-03,https://jobs.ashbyhq.com/airtasker/808abfce-bb47-421f-81e7-49f6af33f558,87198776
