Company name,State,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Job openings,Accredited sponsor,Hires international students,Glassdoor rating,Glassdoor reviews,Glassdoor URL,Job title,Job type,ANZSCO occupation,ANZSCO 2022,ANZSCO 2013,ANZSCO unit group,ANZSCO unit group title,OSCA occupation,OSCA code,Job city,Job country,Date posted,Job URL,Job ID,Invited Score,Employment type,Job level,Work arrangement,Education level,Base salary min,Base salary max,Base salary currency,Base salary min AUD,Base salary max AUD,Company salary estimate AUD,Salary source,Salary source URL,Advert posted
5B,New South Wales,scaleup,commission;manufacturing,https://5b.co/,breakout stage,201-500,energy,Sydney,"Bowden Street, Macdonaldtown, Alexandria, Sydney, Council of the City of Sydney, New South Wales, 2015, Australia","Clean technology innovation powerhouse that accelerates access to low-cost, safely deployed, gigawatt-scale solar energy",https://www.linkedin.com/company/5baus/,2,,,3.8,23,https://www.glassdoor.com.au/Salary/5B-Salaries-E3353042.htm,Procurement Specialist,Logistics,,,,,,,,Sydney,Australia,2026-07-18,https://www.linkedin.com/jobs/view/4441978284/,86366213,,Full-time,Senior,,Bachelor;Certification,,,AUD,,,113106,glassdoor,https://www.glassdoor.com.au/Salary/5B-Salaries-E3353042.htm,
8common,New South Wales,scaleup,subscription;saas,http://www.8common.com/,early stage,11-50,fintech;enterprise software,Sydney,"213, Miller Street, Victoria Cross, North Sydney, Sydney, North Sydney Council, New South Wales, 2060, Australia","Software solutions help customers get organised, boost productivity, and deliver results",https://www.linkedin.com/company/8common/,1,,,4.6,11,https://www.glassdoor.com.au/Salary/8Common-Salaries-E1472260.htm,"Junior Technical Support Engineer (Sydney, Canberra, Melbourne and other Australian locations considered)",Other,ICT Support Engineer,,263212,2632,ICT Support and Test Engineers,ICT Support Engineer,272232,Canberra,Australia,2026-07-16,https://www.linkedin.com/jobs/view/4439968710/,86239676,,Full-time,Graduate,Remote,Final year of degree,,,AUD,,,73302,glassdoor,https://www.glassdoor.com.au/Salary/8Common-Salaries-E1472260.htm,
8seats,New South Wales,startup,subscription;saas,http://8seats.com,early stage,2-10,enterprise software,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia",Dynamic messaging platform enhancing team communication with 256-bit encryption and reduced channel complexity,https://www.linkedin.com/company/8seats/,1,,,,,,Senior Software Engineer,Backend development,Software Engineer,261313,261313,2613,Software and Applications Programmers,Software Engineer,273333,Sydney,Australia,2026-07-22,https://www.8seats.com/careers,86547998,,,Senior,,,,,,,,,,,
Accounting for Nature,New South Wales,startup,subscription;saas,http://accountingfornature.org,early stage,11-50,fintech;energy,Sydney,"Sydney, New South Wales, Australia",A tool for measuring environmental assets and an optional certification pathway for sustainability claims,https://www.linkedin.com/company/accounting-for-nature-ltd/,1,,,,,,"Manager, Environmental Account Certification",Accounting,,,,,,,,Brisbane,Australia,2026-09-02,https://www.linkedin.com/jobs/view/4460217100/,88630092,,Full-time,Senior,Remote,Bachelor;Certification,,,,,,,,,
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,9,,,2.4,8,https://www.glassdoor.com.au/Salary/Advancells-Salaries-E1329516.htm,Director of Radiochemical Separations,Other,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/4afdeb65-a3ae-43da-94e7-44b29d252db4,86716035,,Full-time,Lead,On-site,PhD,,,,,,,,,2026-07-15
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,9,,,2.4,8,https://www.glassdoor.com.au/Salary/Advancells-Salaries-E1329516.htm,Director of Supply Chain and Logistics,Logistics,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/bd03f1ca-949c-4afe-bd92-ab35970f8e7c,86716048,,Full-time,Lead,On-site,Master;Bachelor,,,,,,,,,2026-07-07
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,9,,,2.4,8,https://www.glassdoor.com.au/Salary/Advancells-Salaries-E1329516.htm,Head of Facilities,Other,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/83d1237e-c65b-43c7-92ad-1e4fb6ee2219,86716069,,Full-time,Lead,On-site,Bachelor,,,,,,,,,2026-07-01
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,9,,,2.4,8,https://www.glassdoor.com.au/Salary/Advancells-Salaries-E1329516.htm,Radiochemical Processing Technician – Radioisotope Purification,Other,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/d492ff65-3853-4218-97de-506015d203ae,86716061,,Full-time,,On-site,Bachelor,,,,,,,,,2026-07-15
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,9,,,2.4,8,https://www.glassdoor.com.au/Salary/Advancells-Salaries-E1329516.htm,Site Head,Other,,,,,,,,Brisbane,Australia,2026-07-25,https://jobs.lever.co/advancell/c1ad925e-7a8b-4daf-94ce-209d55bcd4a9,86716038,,Full-time,,On-site,PhD;Master,,,,,,,,,2026-07-01
Agriwebb,New South Wales,scaleup,mobile app;subscription;saas,http://agriwebb.com,breakout stage,51-200,food,Sydney,"85-93, Commonwealth Street, Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia",Livestock Business Management that moves the industry forward,https://www.linkedin.com/company/agriwebb/,4,,,4.4,15,https://www.glassdoor.com.au/Salary/Agriwebb-Salaries-E1014250.htm,Account Executive,Sales,,,,,,,,Sydney,Australia,2026-09-08,https://clientapps.jobadder.com/80133/agriwebb/896807/account-executive,88898893,,,,,,,,AUD,,,101260,glassdoor,https://www.glassdoor.com.au/Salary/Agriwebb-Salaries-E1014250.htm,
